date,region,product,channel,units,unit_price,revenue
2024-07-01,LATAM,Desk Lamp,Retail,36,64.22,2311.92
2024-07-02,EMEA,HD Webcam,Partner,28,26.17,732.76
2024-07-02,North America,Desk Lamp,Retail,19,64.22,1220.18
2024-07-03,EMEA,Mechanical Keyboard,Online,38,210.43,7996.34
2024-07-04,LATAM,Portable SSD,Online,3,41.29,123.87
2024-07-05,EMEA,Laptop Stand,Partner,16,14.78,236.48
2024-07-05,North America,Mechanical Keyboard,Retail,31,210.43,6523.33
2024-07-06,North America,Laptop Stand,Online,19,14.78,280.82
2024-07-07,North America,USB-C Hub,Partner,4,100.72,402.88
2024-07-08,APAC,Wireless Mouse,Online,38,34.72,1319.36
2024-07-08,ANZ,Mechanical Keyboard,Partner,40,210.43,8417.20
2024-07-09,North America,USB-C Hub,Partner,8,100.72,805.76
2024-07-10,North America,Mechanical Keyboard,Retail,25,210.43,5260.75
2024-07-10,EMEA,Portable SSD,Partner,5,41.29,206.45
2024-07-11,EMEA,Portable SSD,Online,24,41.29,990.96
2024-07-12,ANZ,Desk Lamp,Retail,14,64.22,899.08
2024-07-13,LATAM,Desk Lamp,Online,16,64.22,1027.52
2024-07-13,North America,Portable SSD,Retail,40,41.29,1651.60
2024-07-14,EMEA,Mechanical Keyboard,Partner,17,210.43,3577.31
2024-07-15,APAC,USB-C Hub,Partner,24,100.72,2417.28
2024-07-16,ANZ,Laptop Stand,Retail,33,14.78,487.74
2024-07-16,ANZ,Portable SSD,Retail,14,41.29,578.06
2024-07-17,North America,Laptop Stand,Partner,4,14.78,59.12
2024-07-18,APAC,Laptop Stand,Online,38,14.78,561.64
2024-07-19,LATAM,Portable SSD,Online,17,41.29,701.93
2024-07-19,LATAM,USB-C Hub,Online,7,100.72,705.04
2024-07-20,EMEA,Portable SSD,Retail,35,41.29,1445.15
2024-07-21,APAC,Laptop Stand,Partner,14,14.78,206.92
2024-07-21,EMEA,Laptop Stand,Online,25,14.78,369.50
2024-07-22,ANZ,Portable SSD,Partner,34,41.29,1403.86
2024-07-23,APAC,USB-C Hub,Online,26,100.72,2618.72
2024-07-24,ANZ,USB-C Hub,Online,39,100.72,3928.08
2024-07-24,LATAM,Desk Lamp,Online,38,64.22,2440.36
2024-07-25,ANZ,USB-C Hub,Partner,4,100.72,402.88
2024-07-26,North America,HD Webcam,Online,3,26.17,78.51
2024-07-27,EMEA,HD Webcam,Online,4,26.17,104.68
2024-07-27,ANZ,HD Webcam,Retail,26,26.17,680.42
